origin,season,color_name,size,application,bag_type,fabric,finishing,fit,foulard_type,outside_type,print,style,top_type,weather,nivel,dress/jumpsuit,grupo
NO_MAINSTREAM,9,ecru,L,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,ecru,M,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,ecru,S,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,khaki,L,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,khaki,M,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,khaki,S,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,nude,L,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,nude,M,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,nude,S,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
MAINSTREAM,9,black,L,freetime,,crepe,,straight,,,floral,boho,tops,warm,2,False,
